team_id,name,code,country,founded,national,logo_url,venue_id
-284,RAAL La Louviere,,,,False,,
-285,Palmeiras,,,,False,,
-286,Portuguesa,,,,False,,
-287,Sport Recife,,,,False,,
-288,Flamengo RJ,,,,False,,
-289,Figueirense,,,,False,,
-290,Nautico,,,,False,,
-291,Botafogo RJ,,,,False,,
-292,Sao Paulo,,,,False,,
-293,Corinthians,,,,False,,
-294,Fluminense,,,,False,,
-295,Internacional,,,,False,,
-296,Coritiba,,,,False,,
-297,Ponte Preta,,,,False,,
-298,Atletico-MG,,,,False,,
-299,Bahia,,,,False,,
-300,Santos,,,,False,,
-301,Cruzeiro,,,,False,,
-302,Atletico GO,,,,False,,
-303,Vasco,,,,False,,
-304,Gremio,,,,False,,
-305,Vitoria,,,,False,,
-306,Criciuma,,,,False,,
-307,Goias,,,,False,,
-308,Athletico-PR,,,,False,,
-309,Chapecoense-SC,,,,False,,
-310,Joinville,,,,False,,
-311,Avai,,,,False,,
-312,Santa Cruz,,,,False,,
-313,America MG,,,,False,,
-314,Ceara,,,,False,,
-315,Parana,,,,False,,
-316,CSA,,,,False,,
-317,Fortaleza,,,,False,,
-318,Bragantino,,,,False,,
-319,Cuiaba,,,,False,,
-320,Juventude,,,,False,,
-321,Mirassol,,,,False,,
-322,Shandong Luneng,,,,False,,
-323,Zhejiang Yiteng,,,,False,,
-324,Guangzhou Evergrande,,,,False,,
-325,Henan Songshan Longmen,,,,False,,
-326,Beijing Guoan,,,,False,,
-327,Changchun Yatai,,,,False,,
-328,Hangzhou Greentown,,,,False,,
-329,Dalian Yifang F.C.,,,,False,,
-330,Jiangsu Suning,,,,False,,
-331,Beijing Renhe,,,,False,,
-332,Liaoning,,,,False,,
-333,Shanghai SIPG,,,,False,,
-334,Shanghai Shenxin,,,,False,,
-335,Shanghai Shenhua,,,,False,,
-336,Tianjin Jinmen Tiger,,,,False,,
-337,Guangzhou R&F,,,,False,,
-338,Chongqing Liangjiang Athletic,,,,False,,
-339,Shijiazhuang,,,,False,,
-340,Hebei,,,,False,,
-341,Yanbian,,,,False,,
-342,Guizhou Zhicheng,,,,False,,
-343,Tianjin Quanjian,,,,False,,
-344,Tianjin Tianhai,,,,False,,
-345,Wuhan FC,,,,False,,
-346,Shenzhen,,,,False,,
-347,Qingdao FC,,,,False,,
-348,Dalian Pro,,,,False,,
-349,Zhejiang Greentown,,,,False,,
-350,Shandong Taishan,,,,False,,
-351,Guangzhou FC,,,,False,,
-352,Guangzhou City,,,,False,,
-353,Cangzhou,,,,False,,
-354,Shanghai Port,,,,False,,
-355,Chengdu Rongcheng,,,,False,,
-356,Zhejiang Professional,,,,False,,
-357,Wuhan Three Towns,,,,False,,
-358,Meizhou Hakka,,,,False,,
-359,Nantong Zhiyun,,,,False,,
-360,Qingdao Hainiu,,,,False,,
-361,Qingdao West Coast,,,,False,,
-362,Shenzhen Xinpengcheng,,,,False,,
-363,Yunnan Yukun,,,,False,,
-364,Dalian Yingbo,,,,False,,
-365,Aarhus,,,,False,,
-366,Aalborg,,,,False,,
-367,Sonderjyske,,,,False,,
-368,Randers FC,,,,False,,
-369,Esbjerg,,,,False,,
-370,Silkeborg,,,,False,,
-371,Brondby,,,,False,,
-372,Odense,,,,False,,
-373,FC Copenhagen,,,,False,,
-374,Midtjylland,,,,False,,
-375,Horsens,,,,False,,
-376,Nordsjaelland,,,,False,,
-377,Viborg,,,,False,,
-378,Vestsjaelland,,,,False,,
-379,Hobro,,,,False,,
-380,Lyngby,,,,False,,
-381,Vendsyssel,,,,False,,
-382,Helsingor,,,,False,,
-383,Vejle,,,,False,,
-384,Hvidovre IF,,,,False,,
-385,Fredericia,,,,False,,
-386,Brighton,,,,False,,
-387,Nott'm Forest,,,,False,,
-388,Birmingham,,,,False,,
-389,Reading,,,,False,,
-390,Blackburn,,,,False,,
-391,Wolves,,,,False,,
-392,Bolton,,,,False,,
-393,Derby,,,,False,,
-394,Brentford,,,,False,,
-395,Ipswich,,,,False,,
-396,Cardiff,,,,False,,
-397,Fulham,,,,False,,
-398,Charlton,,,,False,,
-399,QPR,,,,False,,
-400,Hull,,,,False,,
-401,Huddersfield,,,,False,,
-402,Leeds,,,,False,,
-403,Burnley,,,,False,,
-404,Rotherham,,,,False,,
-405,Milton Keynes Dons,,,,False,,
-406,Sheffield Weds,,,,False,,
-407,Bristol City,,,,False,,
-408,Preston,,,,False,,
-409,Middlesbrough,,,,False,,
-410,Burton,,,,False,,
-411,Scunthorpe,,,,False,,
-412,Chesterfield,,,,False,,
-413,Barnsley,,,,False,,
-414,Colchester,,,,False,,
-415,Blackpool,,,,False,,
-416,Coventry,,,,False,,
-417,Wigan,,,,False,,
-418,Crewe,,,,False,,
-419,Port Vale,,,,False,,
-420,Doncaster,,,,False,,
-421,Bury,,,,False,,
-422,Fleetwood Town,,,,False,,
-423,Southend,,,,False,,
-424,Gillingham,,,,False,,
-425,Sheffield United,,,,False,,
-426,Rochdale,,,,False,,
-427,Peterboro,,,,False,,
-428,Shrewsbury,,,,False,,
-429,Millwall,,,,False,,
-430,Swindon,,,,False,,
-431,Bradford,,,,False,,
-432,Walsall,,,,False,,
-433,Oldham,,,,False,,
-434,Accrington,,,,False,,
-435,Luton,,,,False,,
-436,AFC Wimbledon,,,,False,,
-437,Plymouth,,,,False,,
-438,Bristol Rvs,,,,False,,
-439,Northampton,,,,False,,
-440,Cambridge,,,,False,,
-441,Newport County,,,,False,,
-442,Exeter,,,,False,,
-443,Yeovil,,,,False,,
-444,Hartlepool,,,,False,,
-445,Morecambe,,,,False,,
-446,Leyton Orient,,,,False,,
-447,Barnet,,,,False,,
-448,Mansfield,,,,False,,
-449,Carlisle,,,,False,,
-450,Oxford,,,,False,,
-451,Crawley Town,,,,False,,
-452,Portsmouth,,,,False,,
-453,Dag and Red,,,,False,,
-454,Stevenage,,,,False,,
-455,Notts County,,,,False,,
-456,Wycombe,,,,False,,
-457,York,,,,False,,
-458,Aldershot,,,,False,,
-459,Gateshead,,,,False,,
-460,Altrincham,,,,False,,
-461,Forest Green,,,,False,,
-462,Barrow,,,,False,,
-463,Dover Athletic,,,,False,,
-464,Boreham Wood,,,,False,,
-465,Halifax,,,,False,,
-466,Bromley,,,,False,,
-467,Wrexham,,,,False,,
-468,Chester,,,,False,,
-469,Braintree Town,,,,False,,
-470,Kidderminster,,,,False,,
-471,Grimsby,,,,False,,
-472,Lincoln,,,,False,,
-473,Cheltenham,,,,False,,
-474,Southport,,,,False,,
-475,Eastleigh,,,,False,,
-476,Torquay,,,,False,,
-477,Macclesfield,,,,False,,
-478,Tranmere,,,,False,,
-479,Woking,,,,False,,
-480,Welling United,,,,False,,
-481,Guiseley,,,,False,,
-482,Bournemouth,,,,False,,
-483,Aston Villa,,,,False,,
-484,Chelsea,,,,False,,
-485,Swansea,,,,False,,
-486,Everton,,,,False,,
-487,Watford,,,,False,,
-488,Leicester,,,,False,,
-489,Sunderland,,,,False,,
-490,Man United,,,,False,,
-491,Tottenham,,,,False,,
-492,Norwich,,,,False,,
-493,Crystal Palace,,,,False,,
-494,Arsenal,,,,False,,
-495,West Ham,,,,False,,
-496,Newcastle,,,,False,,
-497,Southampton,,,,False,,
-498,Stoke,,,,False,,
-499,Liverpool,,,,False,,
-500,West Brom,,,,False,,
-501,Man City,,,,False,,
-502,Maidstone,,,,False,,
-503,North Ferriby,,,,False,,
-504,Sutton,,,,False,,
-505,Solihull,,,,False,,
-506,Fylde,,,,False,,
-507,Ebbsfleet,,,,False,,
-508,Maidenhead,,,,False,,
-509,Havant & Waterlooville,,,,False,,
-510,Harrogate,,,,False,,
-511,Salford,,,,False,,
-512,Stockport,,,,False,,
-513,Chorley,,,,False,,
-514,Weymouth,,,,False,,
-515,Kings Lynn,,,,False,,
-516,Wealdstone,,,,False,,
-517,Dorking,,,,False,,
-518,Oxford City,,,,False,,
-519,Boston Utd,,,,False,,
-520,Tamworth,,,,False,,
-521,Brackley Town,,,,False,,
-522,Truro,,,,False,,
-523,HJK,,,,False,,
-524,Mariehamn,,,,False,,
-525,Honka,,,,False,,
-526,VPS,,,,False,,
-527,KuPS,,,,False,,
-528,JJK Jyvaskyla,,,,False,,
-529,Lahti,,,,False,,
-530,Haka,,,,False,,
-531,TPS,,,,False,,
