fixture_id,date,timestamp,timezone,referee,status_short,status_long,elapsed_time,league_id,league_name,country,season,round,home_team_id,home_team_name,home_team_winner,away_team_id,away_team_name,away_team_winner,goals_home,goals_away,score_ht_home,score_ht_away,score_ft_home,score_ft_away,score_et_home,score_et_away,score_pen_home,score_pen_away,venue_name,venue_city
1406403,2025-11-12T18:30:00+00:00,1762972200,UTC,,FT,Match Finished,90,752,Oberliga - Rheinland-Pfalz / Saar,Germany,2025,Rheinland-Pfalz / Saar - 3,9365,Pirmasens,,1663,Wormatia Worms,,2,2,1,1,2,2,,,,,Sportpark Husterhöhe,Pirmasens
1407282,2025-11-12T18:30:00+00:00,1762972200,UTC,,FT,Match Finished,90,750,Oberliga - Hessen,Germany,2025,Hessen - 15,4261,Baunatal,True,19469,Weidenhausen,False,3,1,1,1,3,1,,,,,Parkstadion,Baunatal
1482361,2025-11-12T18:30:00+00:00,1762972200,UTC,,FT,Match Finished,90,1191,UEFA Europa Cup - Women,World,2025,Round of 16,1898,Ajax W,False,15630,Hammarby,True,1,3,0,1,1,3,,,,,Sportcomplex De Toekomst,Ouder-Amstel
1408091,2025-11-12T18:45:00+00:00,1762973100,UTC,,FT,Match Finished,90,84,Regionalliga - Nord,Germany,2025,North - 4,1330,Werder Bremen II,True,9338,Altona 93,False,5,1,0,1,5,1,,,,,Weserstadion Platz 11,Bremen
1473042,2025-11-12T18:45:00+00:00,1762973100,UTC,,FT,Match Finished,90,54,Non League Div One - Northern West,England,2025,Northern West - 10,8862,Lower Breck,False,8690,Avro,True,0,3,0,2,0,3,,,,,Anfield Sports Community Centre,Liverpool
1433157,2025-11-12T19:00:00+00:00,1762974000,UTC,,FT,Match Finished,90,879,Segunda División RFEF - Group 5,Spain,2025,Group 5 - 5,9715,Rayo Vallecano II,True,9714,RSD Alcalá,False,3,1,2,0,3,1,,,,,Ciudad Deportiva Rayo Vallecano Campo 4,Madrid
1466700,2025-11-12T19:00:00+00:00,1762974000,UTC,,FT,Match Finished,90,1039,Premier League International Cup,World,2025,Group Stage - 1,11915,Sunderland U21,True,9579,Athletic Club II,False,7,1,5,1,7,1,,,,,,
1466789,2025-11-12T19:00:00+00:00,1762974000,UTC,,FT,Match Finished,90,1039,Premier League International Cup,World,2025,Group Stage - 1,17000,Crystal Palace U21,True,26593,Juventus U21,False,3,1,3,0,3,1,,,,,,
1470330,2025-11-12T19:00:00+00:00,1762974000,UTC,,NS,Not Started,,697,WSL Cup,England,2025,Group Stage - 2,1856,West Ham W,,15454,Southampton W,,,,,,,,,,,,,
1470331,2025-11-12T19:00:00+00:00,1762974000,UTC,,FT,Match Finished,90,697,WSL Cup,England,2025,Group Stage - 2,1857,Brighton W,False,15402,Charlton Athletic W,True,0,1,0,1,0,1,,,,,,
1485213,2025-11-12T19:00:00+00:00,1762974000,UTC,,FT,Match Finished,90,906,Reserve League,Argentina,2025,Round of 16,18686,Gimnasia La Plata Res.,True,18691,Newell's Old Boys Res.,False,2,0,0,0,2,0,,,,,,
1485214,2025-11-12T19:00:00+00:00,1762974000,UTC,,PEN,Match Finished,120,906,Reserve League,Argentina,2025,Round of 16,20818,Instituto Res.,True,18694,Racing Club Res.,False,1,1,0,0,1,1,0,0,4,2,,
